Species,pPC 1,pPC 2,pPC 3,pPC 4,pPC 5,pPC 6,pPC 7,pPC 8,pPC 9,pPC 10,pPC 11
jubar,0.09,-0.12,-0.216,0.173,0.171,-0.1,-0.023,0.043,0.032,0.025,-0.034
krugi,0.406,-0.189,0.205,-0.11,0.148,-0.069,-0.03,-0.076,0.013,0.015,-0.035
lineatopus,0.341,0.05,-0.022,0.282,0.12,-0.02,-0.066,0.018,0.047,-0.003,-0.031
longitibialis,0.443,0.16,-0.04,0.446,0.071,-0.052,0.006,-0.006,-0.01,0.005,-0.026
loysiana,-0.359,-0.355,-0.175,0.007,0.06,-0.039,-0.024,0.018,0.034,0.016,-0.019
lucius,0.452,0.115,-0.304,-0.188,0.032,-0.19,0.022,0.022,0.05,0.022,-0.027
luteogularis,0.016,1.036,-0.052,-0.314,0.076,-0.187,-0.043,0.069,0.024,0.016,-0.024
macilentus,0.095,-0.348,0.427,-0.021,0.143,-0.193,-0.018,0.05,-0.015,0.034,0.004
marcanoi,0.331,0.002,-0.038,0.094,0.016,-0.156,-0.034,0.001,0.032,-0.008,-0.009
marron,0.094,-0.242,-0.31,0.158,-0.058,0.08,0.005,0.061,0.051,0.035,-0.017
mestrei,0.205,-0.089,-0.188,0.189,0.038,-0.054,0.023,0.003,0.014,0.024,-0.014
monticola,0.635,-0.316,0.051,0.04,0.119,0.039,-0.027,-0.01,0.008,0.065,0.008
noblei,0.098,1.016,-0.025,-0.381,-0.054,-0.048,-0.042,0.072,-0.008,0.07,-0.014
occultus,-1.313,-0.36,0.037,-0.027,-0.011,-0.055,0.015,0.055,0.024,0.026,-0.009
olssoni,0.347,-0.277,0.506,-0.076,-0.008,-0.074,0.012,0.016,-0.002,0.034,-0.006
opalinus,0.131,-0.234,-0.21,-0.141,0.03,0.095,-0.029,0.027,0.039,0.018,-0.002
ophiolepis,-0.006,-0.424,0.335,0.096,0.021,0.165,-0.079,0.041,0.001,0.011,-0.021
oporinus,-0.753,-0.196,-0.073,-0.205,0.02,0.001,-0.084,0.044,0.03,0.011,-0.005
paternus,-0.363,-0.249,0.091,-0.258,0.069,0.041,-0.004,-0.005,0.003,0.027,-0.017
placidus,-1.219,-0.252,0.058,0.004,-0.01,0.056,-0.086,0.013,0.023,0.025,-0.026
poncensis,0.125,-0.244,0.404,0.066,0.051,0.185,-0.133,0.013,0.031,0.006,-0.01
porcatus,-0.233,0.204,0.1,-0.416,0.054,0.188,-0.035,-0.052,0.043,0.04,-0.005
porcus,-0.614,0.99,-0.162,0.029,0.024,0.128,-0.08,-0.002,0.023,-0.005,-0.033
pulchellus,0.19,-0.269,0.28,-0.089,0.158,0.043,0.047,0.008,0.022,0.001,0.043
pumilis,-0.28,-0.588,0.075,-0.108,0.093,-0.011,0.005,-0.044,0.027,0.045,0.018
quadriocellifer,0.107,-0.171,-0.156,0.209,0.144,0.074,-0.021,-0.033,0.021,0.01,-0.002
reconditus,0.514,0.398,-0.053,0.242,-0.143,0.081,-0.006,0.006,-0.01,0.028,0.007
ricordii,0.079,0.946,0.024,0,0.072,0.007,0.064,-0.009,-0.005,0.006,0.007
rubribarbus,0.238,0,-0.2,0.318,0.121,0.016,0.006,-0.055,-0.02,0.011,0.026
sagrei,0.171,-0.004,0.046,0.041,0.097,0.073,0.061,-0.012,-0.011,0.004,0.026
semilineatus,0.382,-0.376,0.449,-0.095,0.068,0.017,0.062,0,-0.042,0.022,0.012
sheplani,-1.475,-0.332,0.225,0.002,0.102,0.013,-0.002,0.017,-0.03,0.021,0.015
shrevei,0.229,-0.091,0.018,0.245,-0.06,0.079,-0.058,-0.004,0.031,0.011,0.034
singularis,-0.187,-0.002,-0.072,-0.23,-0.081,0.096,0.034,-0.007,0.023,0.024,0.018
smallwoodi,0.119,0.967,-0.045,-0.403,-0.063,0.152,0.004,0.008,-0.056,0.002,0.019
strahmi,0.461,0.19,-0.161,0.324,-0.063,0.101,0.027,0.025,-0.001,0.026,0.017
stratulus,-0.022,-0.198,-0.245,-0.147,-0.101,-0.031,0.01,-0.045,0.087,-0.036,0.042
valencienni,-0.569,0.273,-0.084,-0.087,0.031,-0.081,0.002,0.015,0.026,-0.015,-0.014
vanidicus,-0.148,-0.428,0.548,0.08,-0.026,-0.083,0.023,0.004,0.001,-0.007,-0.023
vermiculatus,0.233,0.731,0.124,-0.023,0.02,-0.067,-0.049,0.022,-0.003,0.012,-0.015
websteri,-0.036,-0.152,-0.295,0.127,0.048,-0.05,0.041,-0.012,-0.009,-0.014,-0.016
whitemani,0.342,0.02,0.039,0.322,-0.024,0.003,-0.062,-0.069,0.009,-0.074,-0.003
